"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-19T21:40:59","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;29960;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","4.885","8809.06","10459","1691","30666"
"2025-08-19T21:41:00","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;29960;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","4.912","8909.29","10536.2","1704","31014"
"2025-08-19T21:41:01","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;29960;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","14.632","8922.9","10550.23","1705","31021"
"2025-08-19T21:41:02","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","9.766","8866.89","10516.42","1693","30724"
"2025-08-19T21:41:03","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","9.897","8871.18","10525.5","1693","30699"
"2025-08-19T21:41:05","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22060;23068;23288;23856;24360;24508;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37152;37452;37596;38120;38208;38412;39492;39868","9.869","8894.85","10549.7","1693","30711"
"2025-08-19T21:41:15","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22048;22060;23068;23288;23856;24360;24508;24884;25460;25900;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;34768;35540;35876;36104;36368;36380;36784;37452;37596;38120;38208;38412;39868","4.885","8931.73","10536.46","1707","31067"
"2025-08-19T21:41:18","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;21168;21936;22048;22060;23068;23288;23856;24360;24508;24884;25460;25900;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;34768;35540;35876;36104;36368;36380;36784;37452;37596;38120;38208;38412;39868","4.888","8942.41","10544","1711","31072"
