"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-19T21:36:07","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14528;14600;14672;15788;17100;18112;18568;18672;19536;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26476;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36624;36784;37452;37596;38184;38208;38412;39760;39868","4.64","9201.8","10632.85","1749","32021"
"2025-08-19T21:36:08","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14528;14600;14672;15788;17100;18112;18568;18672;19536;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26476;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36624;36784;37452;37596;38184;38208;38412;39760;39868","9.837","9185","10622.91","1749","32006"
"2025-08-19T21:36:09","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14528;14600;14672;15788;17100;18112;18568;18672;19536;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26476;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36624;36784;37452;37596;38184;38208;38412;39760;39868","4.937","9192.61","10631.3","1748","31988"
"2025-08-19T21:36:11","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14528;14600;14672;15788;17100;18112;18568;18672;19536;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26476;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36624;36784;37452;37596;38184;38208;38412;39760;39868","4.901","9143.7","10575.66","1748","31986"
"2025-08-19T21:36:35","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14252;14488;14600;14672;15540;15788;17100;18112;18568;19632;19680;20744;21040;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26588;26920;27856;28100;28764;29036;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;38208;38412;39868","4.918","8941.78","10427.6","1696","31131"
"2025-08-19T21:36:49","chrome","560;3884;4300;4576;4964;5940;12664;12692;12840;13572;13676;14244;14252;14488;14600;14672;15540;15788;17100;18112;18568;19632;19680;20744;21168;22060;23068;23288;23856;24360;24508;24884;25460;26084;26588;26920;27856;28100;28764;29036;29368;29644;30300;30412;31236;32056;32908;32988;33540;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;38208;38412;39868","4.902","9007.54","10475.11","1706","31180"
