Timestamp,Scope,Pid(s),CPU_Percent,WorkingSet_MB,Private_MB,Threads,Handles
2025-08-19T21:26:21,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:22,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:23,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:24,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:25,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:26,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:27,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:28,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:29,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:30,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:31,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:32,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:33,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:34,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:35,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:36,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:37,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:38,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:39,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:40,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:41,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:42,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:43,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:44,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:45,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:46,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:47,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:48,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:49,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:50,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:51,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:52,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:53,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:54,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:55,node,12860,0,51.59,25.61,22,467
2025-08-19T21:26:56,node,12860,0,51.6,25.61,22,467
2025-08-19T21:26:57,node,12860,0,51.6,25.61,22,467
2025-08-19T21:26:58,node,12860,0,51.6,25.61,22,467
2025-08-19T21:26:59,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:00,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:01,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:02,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:03,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:04,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:05,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:06,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:07,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:08,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:10,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:11,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:12,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:13,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:14,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:15,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:16,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:17,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:18,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:19,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:20,node,12860,0,51.6,25.61,22,467
2025-08-19T21:27:21,node,12860,0,51.6,25.61,22,467
