"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-19T21:31:06","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","9.831","9194.77","10465.35","1685","30727"
"2025-08-19T21:31:07","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","14.792","9166.06","10429.57","1685","30739"
"2025-08-19T21:31:08","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","14.778","9176.88","10438.72","1684","30734"
"2025-08-19T21:31:09","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","9.832","9155.14","10415.53","1684","30718"
"2025-08-19T21:31:10","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","9.843","9177.1","10446.32","1684","30720"
"2025-08-19T21:31:11","chrome","560;3884;4300;4576;4964;5940;12664;12692;13572;13676;14244;14488;14600;14672;15788;17100;18112;18568;19632;19680;20744;20804;20972;21168;22060;23068;23072;23288;23856;24360;24508;24800;24884;25460;26588;26920;27856;28100;28764;29368;29644;30300;30412;31236;32056;32908;32988;33756;33768;35540;35876;36104;36368;36380;36784;37452;37596;37772;38208;38412;39868","4.916","9169.69","10437.35","1684","30713"
